name,n_alcohol,temperature_K,cutoff_cm1,alcohol_activity,delta_G_standard_1M_kcal_mol,effective_association_kcal_mol,log_activity_ratio_complex_to_bare
hemiaminal_tbuoh_2_seed_01,2,298.15,100.0,0.01,3.586111557462573,9.04309960959953,-15.263003075383354
hemiaminal_tbuoh_2_seed_01,2,298.15,100.0,0.05,3.586111557462573,7.135964128367645,-12.044127250515155
hemiaminal_tbuoh_2_seed_01,2,298.15,100.0,0.1,3.586111557462573,6.314605583531051,-10.657832889395264
hemiaminal_tbuoh_2_seed_01,2,298.15,100.0,1.0,3.586111557462573,3.586111557462573,-6.052662703407173
hemiaminal_tbuoh_2_seed_01,2,298.15,150.0,0.001,3.8744257563557767,12.059907834561214,-20.35479186498744
hemiaminal_tbuoh_2_seed_01,2,298.15,150.0,0.01,3.8744257563557767,9.331413808492734,-15.749621678999347
hemiaminal_tbuoh_2_seed_01,2,298.15,150.0,0.05,3.8744257563557767,7.424278327260849,-12.53074585413115
hemiaminal_tbuoh_2_seed_01,2,298.15,150.0,0.1,3.8744257563557767,6.602919782424255,-11.144451493011257
hemiaminal_tbuoh_2_seed_01,2,298.15,150.0,1.0,3.8744257563557767,3.8744257563557767,-6.539281307023166
hemiaminal_tbuoh_2_seed_01,2,360.0,50.0,0.001,6.791169166113832,16.674696075904066,-23.308424390417066
hemiaminal_tbuoh_2_seed_01,2,360.0,50.0,0.01,6.791169166113832,13.380187105973986,-18.703254204428973
hemiaminal_tbuoh_2_seed_01,2,360.0,50.0,0.05,6.791169166113832,11.077424156976907,-15.484378379560772
hemiaminal_tbuoh_2_seed_01,2,360.0,50.0,0.1,6.791169166113832,10.08567813604391,-14.098084018440883
hemiaminal_tbuoh_2_seed_01,2,360.0,50.0,1.0,6.791169166113832,6.791169166113832,-9.49291383245279
hemiaminal_tbuoh_2_seed_01,2,360.0,100.0,0.001,8.415315485715837,18.29884239550607,-25.578708149538894
hemiaminal_tbuoh_2_seed_01,2,360.0,100.0,0.01,8.415315485715837,15.004333425575991,-20.9735379635508
hemiaminal_tbuoh_2_seed_01,2,360.0,100.0,0.05,8.415315485715837,12.701570476578912,-17.7546621386826
hemiaminal_tbuoh_2_seed_01,2,360.0,100.0,0.1,8.415315485715837,11.709824455645915,-16.36836777756271
hemiaminal_tbuoh_2_seed_01,2,360.0,100.0,1.0,8.415315485715837,8.415315485715837,-11.763197591574619
hemiaminal_tbuoh_2_seed_01,2,360.0,150.0,0.001,8.842488822181622,18.726015731971856,-26.175824724815072
hemiaminal_tbuoh_2_seed_01,2,360.0,150.0,0.01,8.842488822181622,15.431506762041776,-21.57065453882698
hemiaminal_tbuoh_2_seed_01,2,360.0,150.0,0.05,8.842488822181622,13.128743813044697,-18.351778713958776
hemiaminal_tbuoh_2_seed_01,2,360.0,150.0,0.1,8.842488822181622,12.1369977921117,-16.96548435283889
hemiaminal_tbuoh_2_seed_01,2,360.0,150.0,1.0,8.842488822181622,8.842488822181622,-12.360314166850795
hemiaminal_tbuoh_2_seed_01,2,370.0,50.0,0.001,7.488914295212453,17.646983619163525,-24.000829363502245
hemiaminal_tbuoh_2_seed_01,2,370.0,50.0,0.01,7.488914295212453,14.260960511179833,-19.39565917751415
hemiaminal_tbuoh_2_seed_01,2,370.0,50.0,0.05,7.488914295212453,11.894231924710613,-16.176783352645952
hemiaminal_tbuoh_2_seed_01,2,370.0,50.0,0.1,7.488914295212453,10.874937403196142,-14.79048899152606
hemiaminal_tbuoh_2_seed_01,2,370.0,50.0,1.0,7.488914295212453,7.488914295212453,-10.18531880553797
hemiaminal_tbuoh_2_seed_01,2,370.0,100.0,0.001,9.195240311277303,19.353309635228374,-26.321522827829167
hemiaminal_tbuoh_2_seed_01,2,370.0,100.0,0.01,9.195240311277303,15.967286527244683,-21.716352641841073
hemiaminal_tbuoh_2_seed_01,2,370.0,100.0,0.05,9.195240311277303,13.600557940775463,-18.497476816972874
hemiaminal_tbuoh_2_seed_01,2,370.0,100.0,0.1,9.195240311277303,12.581263419260992,-17.111182455852983
hemiaminal_tbuoh_2_seed_01,2,370.0,100.0,1.0,9.195240311277303,9.195240311277303,-12.506012269864891
hemiaminal_tbuoh_2_seed_01,2,370.0,150.0,0.001,9.646131962228537,19.80420128617961,-26.934759277153947
hemiaminal_tbuoh_2_seed_01,2,370.0,150.0,0.01,9.646131962228537,16.418178178195916,-22.32958909116585
hemiaminal_tbuoh_2_seed_01,2,370.0,150.0,0.05,9.646131962228537,14.051449591726698,-19.110713266297655
hemiaminal_tbuoh_2_seed_01,2,370.0,150.0,0.1,9.646131962228537,13.032155070212227,-17.72441890517776
hemiaminal_tbuoh_2_seed_01,2,370.0,150.0,1.0,9.646131962228537,9.646131962228537,-13.119248719189672
hemiaminal_tbuoh_2_seed_01,2,380.0,50.0,0.001,8.185362233474734,18.617973971586643,-24.65507414914209
hemiaminal_tbuoh_2_seed_01,2,380.0,50.0,0.01,8.185362233474734,15.14043672554934,-20.049903963154
hemiaminal_tbuoh_2_seed_01,2,380.0,50.0,0.05,8.185362233474734,12.70974250160798,-16.831028138285802
hemiaminal_tbuoh_2_seed_01,2,380.0,50.0,0.1,8.185362233474734,11.662899479512038,-15.444733777165911
hemiaminal_tbuoh_2_seed_01,2,380.0,50.0,1.0,8.185362233474734,8.185362233474734,-10.83956359117782
hemiaminal_tbuoh_2_seed_01,2,380.0,100.0,0.001,9.974881894329883,20.407493632441792,-27.02486690946419
hemiaminal_tbuoh_2_seed_01,2,380.0,100.0,0.01,9.974881894329883,16.92995638640449,-22.419696723476104
hemiaminal_tbuoh_2_seed_01,2,380.0,100.0,0.05,9.974881894329883,14.499262162463129,-19.2008208986079
hemiaminal_tbuoh_2_seed_01,2,380.0,100.0,0.1,9.974881894329883,13.452419140367187,-17.81452653748801
hemiaminal_tbuoh_2_seed_01,2,380.0,100.0,1.0,9.974881894329883,9.974881894329883,-13.209356351499919
hemiaminal_tbuoh_2_seed_01,2,380.0,150.0,0.001,10.449817200202233,20.882428938314142,-27.65380565436729
hemiaminal_tbuoh_2_seed_01,2,380.0,150.0,0.01,10.449817200202233,17.40489169227684,-23.048635468379203
hemiaminal_tbuoh_2_seed_01,2,380.0,150.0,0.05,10.449817200202233,14.974197468335479,-19.829759643511
hemiaminal_tbuoh_2_seed_01,2,380.0,150.0,0.1,10.449817200202233,13.927354446239537,-18.44346528239111
hemiaminal_tbuoh_2_seed_01,2,380.0,150.0,1.0,10.449817200202233,10.449817200202233,-13.838295096403018
hemiaminal_tbuoh_2_seed_01,2,383.15,50.0,0.001,8.404477226569725,18.9235698251423,-24.853738691216055
hemiaminal_tbuoh_2_seed_01,2,383.15,50.0,0.01,8.404477226569725,15.417205625618108,-20.248568505227958
hemiaminal_tbuoh_2_seed_01,2,383.15,50.0,0.05,8.404477226569725,12.966362225873024,-17.02969268035976
hemiaminal_tbuoh_2_seed_01,2,383.15,50.0,0.1,8.404477226569725,11.910841426093917,-15.64339831923987
hemiaminal_tbuoh_2_seed_01,2,383.15,50.0,1.0,8.404477226569725,8.404477226569725,-11.038228133251776
hemiaminal_tbuoh_2_seed_01,2,383.15,100.0,0.001,10.220408480869082,20.73950107944166,-27.238736939041583
hemiaminal_tbuoh_2_seed_01,2,383.15,100.0,0.01,10.220408480869082,17.233136879917467,-22.63356675305349
hemiaminal_tbuoh_2_seed_01,2,383.15,100.0,0.05,10.220408480869082,14.782293480172381,-19.41469092818529
hemiaminal_tbuoh_2_seed_01,2,383.15,100.0,0.1,10.220408480869082,13.726772680393275,-18.0283965670654
hemiaminal_tbuoh_2_seed_01,2,383.15,100.0,1.0,10.220408480869082,10.220408480869082,-13.423226381077306
hemiaminal_tbuoh_2_seed_01,2,383.15,150.0,0.001,10.702983504539588,21.222076103112165,-27.87253878763777
hemiaminal_tbuoh_2_seed_01,2,383.15,150.0,0.01,10.702983504539588,17.715711903587973,-23.267368601649675
hemiaminal_tbuoh_2_seed_01,2,383.15,150.0,0.05,10.702983504539588,15.264868503842887,-20.048492776781472
hemiaminal_tbuoh_2_seed_01,2,383.15,150.0,0.1,10.702983504539588,14.20934770406378,-18.66219841566158
hemiaminal_tbuoh_2_seed_01,2,383.15,150.0,1.0,10.702983504539588,10.702983504539588,-14.05702822967349
hemiaminal_tbuoh_2_seed_01,2,390.0,50.0,0.001,8.880528965273697,19.587683117546447,-25.274114771111215
hemiaminal_tbuoh_2_seed_01,2,390.0,50.0,0.01,8.880528965273697,16.01863173345553,-20.66894458512312
hemiaminal_tbuoh_2_seed_01,2,390.0,50.0,0.05,8.880528965273697,13.52397187204203,-17.450068760254926
hemiaminal_tbuoh_2_seed_01,2,390.0,50.0,0.1,8.880528965273697,12.449580349364613,-16.06377439913503
hemiaminal_tbuoh_2_seed_01,2,390.0,50.0,1.0,8.880528965273697,8.880528965273697,-11.458604213146943
hemiaminal_tbuoh_2_seed_01,2,390.0,100.0,0.001,10.7542289053672,21.46138305763995,-27.691761975651005
hemiaminal_tbuoh_2_seed_01,2,390.0,100.0,0.01,10.7542289053672,17.89233167354903,-23.08659178966291
hemiaminal_tbuoh_2_seed_01,2,390.0,100.0,0.05,10.7542289053672,15.397671812135531,-19.867715964794712
